,latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
27808,-15.42823459,35.41029893,46.2869,0.8182,"POLYGON((35.4103333665391 -15.4282623264947, 35.4103286698956 -15.4282021515675, 35.410264500525 -15.4282068639816, 35.4102691971506 -15.4282670389128, 35.4103333665391 -15.4282623264947))",5GPQHCC6+P43P
28498,-15.42496129,35.41027842,9.0808,0.6758,"POLYGON((35.4102914083851 -15.4249761712661, 35.410290249759 -15.4249455279829, 35.4102654204448 -15.424946411328, 35.4102665790673 -15.4249770546115, 35.4102914083851 -15.4249761712661))",5GPQHCG6+246H
58409,-15.43271106,35.42371707,59.8807,0.8462,"POLYGON((35.4237587877775 -15.4327393678691, 35.4237479667167 -15.4326718112766, 35.4236753499051 -15.4326827549821, 35.423686170944 -15.4327503115813, 35.4237587877775 -15.4327393678691))",5GPQHC8F+WF8H
58974,-15.42492419,35.41033358,106.0241,0.845,"POLYGON((35.4103717 -15.424979, 35.4103827 -15.4248769, 35.4103031 -15.4248688, 35.4102986 -15.4249109, 35.4102795 -15.4249089, 35.4102757 -15.424944, 35.4102948 -15.4249459, 35.4102921 -15.424971, 35.4103717 -15.424979))",5GPQHCG6+24P4
70749,-15.42152958,35.42687362,18.751,0.6931,"POLYGON((35.4268922719771 -15.4215504495123, 35.4268953692301 -15.4215117453258, 35.426854966405 -15.4215087030116, 35.4268518691444 -15.4215474071984, 35.4268922719771 -15.4215504495123))",5GPQHCHG+9PQX
89569,-15.42404292,35.42642953,33.2343,0.7911,"POLYGON((35.4264615688604 -15.4240229264427, 35.4264046807343 -15.4240149103747, 35.4263974923228 -15.4240629119153, 35.4264543804624 -15.4240709279833, 35.4264615688604 -15.4240229264427))",5GPQHCGG+9HM8
102002,-15.42398087,35.4096946,8.7653,0.6183,"POLYGON((35.4097045150709 -15.4239972175371, 35.4097099573358 -15.4239691270426, 35.4096846706854 -15.4239645173242, 35.4096792284171 -15.4239926078186, 35.4097045150709 -15.4239972175371))",5GPQHCG5+CV4J
103409,-15.43471308,35.42394506,46.7682,0.7351,"POLYGON((35.423972518443 -15.4347497355975, 35.423969802798 -15.4346746421583, 35.4239176118305 -15.4346764179078, 35.4239203274569 -15.4347515113504, 35.423972518443 -15.4347497355975))",5GPQHC8F+4H8C
106223,-15.42517137,35.41058603,33.6597,0.7662,"POLYGON((35.4106117764343 -15.4251990705715, 35.4106096611685 -15.4251419552078, 35.4105602802955 -15.4251436759931, 35.4105623955479 -15.4252007913593, 35.4106117764343 -15.4251990705715))",5GPQHCF6+W6P5
148358,-15.43161813,35.42483813,41.18,0.8365,"POLYGON((35.4248699011007 -15.431590464088, 35.4248170430448 -15.4315821107364, 35.4248063477665 -15.431645786262, 35.4248592058385 -15.4316541396137, 35.4248699011007 -15.431590464088))",5GPQHC9F+9W49
152776,-15.42800526,35.41010885,22.1223,0.716,"POLYGON((35.4101344128012 -15.4280244877288, 35.4101373267107 -15.4279903844769, 35.4100832725032 -15.4279860388133, 35.4100803585845 -15.4280201420659, 35.4101344128012 -15.4280244877288))",5GPQHCC6+Q2XM
153965,-15.43230279,35.40916604,15.2018,0.6096,"POLYGON((35.4091930468854 -15.4323067106588, 35.4091823383637 -15.4322815355439, 35.4091390443954 -15.4322988621183, 35.409149752913 -15.432324037236, 35.4091930468854 -15.4323067106588))",5GPQHC95+3MFV
154203,-15.42112646,35.42740811,208.3575,0.8085,"POLYGON((35.4274993408464 -15.4210840837168, 35.4274128601822 -15.4210284464345, 35.4273168773637 -15.4211688315798, 35.427403358072 -15.4212244688942, 35.4274993408464 -15.4210840837168))",5GPQHCHG+GXVR
159708,-15.42601751,35.40966892,20.4144,0.7078,"POLYGON((35.4096906575155 -15.4260386831917, 35.4096971860315 -15.4260056461011, 35.4096471794622 -15.4259963480049, 35.4096406509382 -15.426029385095, 35.4096906575155 -15.4260386831917))",5GPQHCF5+HVV7
181177,-15.42637619,35.41059564,58.1028,0.7734,"POLYGON((35.4106247850063 -15.4264163704277, 35.4106303277447 -15.4263403914855, 35.410566486929 -15.4263360093768, 35.4105609441668 -15.4264119883208, 35.4106247850063 -15.4264163704277))",5GPQHCF6+C6XR
183947,-15.43166962,35.42690536,62.7646,0.8442,"POLYGON((35.4269336616706 -15.4317120556888, 35.4269488018043 -15.4316417092404, 35.4268770684433 -15.4316271834698, 35.4268619282849 -15.4316975299167, 35.4269336616706 -15.4317120556888))",5GPQHC9G+8QJ9
214378,-15.4309978,35.42411747,29.0374,0.7327,"POLYGON((35.4241356738639 -15.4310293549938, 35.4241390239442 -15.4309682896453, 35.4240992400243 -15.4309662361118, 35.4240958899322 -15.4310273014614, 35.4241356738639 -15.4310293549938))",5GPQHC9F+JJ55
223898,-15.42845222,35.40976417,22.4972,0.6411,"POLYGON((35.4097953074733 -15.4284431667518, 35.4097434025657 -15.4284279651333, 35.4097330288124 -15.4284612922712, 35.4097849337285 -15.4284764938912, 35.4097953074733 -15.4284431667518))",5GPQHCC5+JW6V
281049,-15.42570918,35.40956853,54.8026,0.7588,"POLYGON((35.4096164938557 -15.4257008845944, 35.4095574233539 -15.425663167858, 35.4095205706888 -15.4257174754631, 35.4095796412024 -15.425755192208, 35.4096164938557 -15.4257008845944))",5GPQHCF5+PR8J
292536,-15.43541794,35.42717294,36.5162,0.826,"POLYGON((35.427197148374 -15.4354487035434, 35.4272013758227 -15.4353907923958, 35.4271487336341 -15.4353871769223, 35.4271445061704 -15.435445088071, 35.427197148374 -15.4354487035434))",5GPQHC7G+RVM8
302764,-15.42309032,35.42617751,14.7483,0.6433,"POLYGON((35.4261944984886 -15.4231093009906, 35.4262013941669 -15.4230805824795, 35.4261605251433 -15.4230713487759, 35.4261536294594 -15.4231000672865, 35.4261944984886 -15.4231093009906))",5GPQHCGG+QF78
331333,-15.42516036,35.41110994,39.03,0.6892,"POLYGON((35.4111472084329 -15.4251804184981, 35.4111429537687 -15.42513419234, 35.4110726750119 -15.4251402787094, 35.411076929661 -15.4251865048714, 35.4111472084329 -15.4251804184981))",5GPQHCF6+WCQG
331602,-15.42428866,35.42606453,36.9753,0.7985,"POLYGON((35.4261038756648 -15.4242955527458, 35.4260716191123 -15.4242504873159, 35.4260251719677 -15.4242817693281, 35.4260574285172 -15.4243268347654, 35.4261038756648 -15.4242955527458))",5GPQHCGG+7CPC
