B2,B3,B4,B8,B11,B12,latitude,longitude
1140.0,1028.0,1053.0,1597.0,2140.0,1737.0,-13.957964277463018,33.77800581342528
1092.0,960.0,1057.0,1388.0,1751.0,1370.0,-13.957963981297807,33.77809838853319
1142.0,1062.0,1087.0,1412.0,1751.0,1370.0,-13.957963685097367,33.77819096363894
1195.0,1115.0,1175.0,1599.0,1719.0,1348.0,-13.957963388861694,33.77828353874253
1133.0,1005.0,1083.0,1699.0,1719.0,1348.0,-13.957963092590793,33.77837611384395
1173.0,1066.0,1084.0,1805.0,1957.0,1510.0,-13.957962796284658,33.77846868894321
1179.0,1142.0,1131.0,1702.0,1957.0,1510.0,-13.957962499943298,33.77856126404031
1078.0,992.0,1086.0,1568.0,2089.0,1635.0,-13.957962203566703,33.778653839135245
1176.0,1171.0,1394.0,1834.0,2089.0,1635.0,-13.957961907154878,33.77874641422802
1204.0,1238.0,1581.0,2113.0,2059.0,1701.0,-13.957961610707827,33.77883898931863
1151.0,1061.0,1343.0,1810.0,2059.0,1701.0,-13.95796131422554,33.77893156440707
1123.0,1056.0,1089.0,1525.0,1928.0,1554.0,-13.957961017708026,33.77902413949335
1061.0,938.0,940.0,1648.0,1928.0,1554.0,-13.95796072115528,33.77911671457747
1164.0,1116.0,1295.0,1872.0,2028.0,1748.0,-13.957960424567304,33.77920928965942
1215.0,1216.0,1690.0,2092.0,2028.0,1748.0,-13.9579601279441,33.77930186473921
1158.0,1128.0,1383.0,2082.0,2004.0,1636.0,-13.957959831285663,33.779394439816826
1110.0,1026.0,1075.0,1752.0,2004.0,1636.0,-13.957959534591996,33.77948701489228
1115.0,1022.0,1140.0,1600.0,1936.0,1545.0,-13.9579592378631,33.77957958996557
1169.0,1093.0,1203.0,1790.0,1936.0,1545.0,-13.957958941098973,33.7796721650367
1113.0,1031.0,1140.0,1791.0,2013.0,1559.0,-13.957958644299614,33.77976474010566
1065.0,965.0,1045.0,1724.0,2013.0,1559.0,-13.957958347465027,33.77985731517245
1111.0,1075.0,1181.0,1851.0,1992.0,1511.0,-13.95795805059521,33.77994989023708
1145.0,1117.0,1271.0,1846.0,1992.0,1511.0,-13.95795775369016,33.78004246529953
1095.0,1025.0,1155.0,1719.0,1936.0,1487.0,-13.957957456749881,33.78013504035982
1166.0,1102.0,1211.0,1605.0,1936.0,1487.0,-13.957957159774372,33.78022761541795
1254.0,1208.0,1360.0,1665.0,2042.0,1685.0,-13.957956862763632,33.7803201904739
1166.0,1137.0,1272.0,1853.0,2042.0,1685.0,-13.957956565717662,33.78041276552769
1132.0,1044.0,1162.0,1630.0,1781.0,1246.0,-13.957956268636462,33.78050534057932
1197.0,1106.0,1176.0,1541.0,1781.0,1246.0,-13.95795597152003,33.78059791562876
1186.0,1117.0,1192.0,1614.0,1503.0,1143.0,-13.957955674368371,33.780690490676044
1131.0,1011.0,1063.0,1336.0,1503.0,1143.0,-13.95795537718148,33.78078306572116
1055.0,891.0,869.0,1415.0,1575.0,1107.0,-13.957955079959358,33.7808756407641
1126.0,1012.0,1023.0,1363.0,1575.0,1107.0,-13.957954782702007,33.78096821580488
1167.0,1083.0,1157.0,1843.0,1962.0,1321.0,-13.957954485409426,33.78106079084349
1098.0,1011.0,986.0,1875.0,1962.0,1321.0,-13.957954188081615,33.781153365879916
1085.0,965.0,1021.0,1892.0,2235.0,1447.0,-13.95795389071857,33.78124594091419
1101.0,994.0,964.0,1641.0,2235.0,1447.0,-13.957953593320298,33.78133851594628
1050.0,917.0,927.0,1631.0,2290.0,1514.0,-13.957953295886796,33.781431090976206
1095.0,979.0,1044.0,1659.0,2290.0,1514.0,-13.957952998418063,33.781523666003956
1124.0,1003.0,1065.0,1652.0,2467.0,1623.0,-13.957952700914099,33.78161624102954
1124.0,1014.0,1145.0,1743.0,2467.0,1623.0,-13.957952403374906,33.78170881605295
1148.0,1057.0,1264.0,2015.0,2758.0,1877.0,-13.957952105800482,33.78180139107418
1300.0,1328.0,1551.0,2399.0,2758.0,1877.0,-13.957951808190828,33.78189396609325
1267.0,1285.0,1628.0,2366.0,2851.0,2104.0,-13.957951510545943,33.78198654111015
1224.0,1255.0,1487.0,2050.0,2851.0,2104.0,-13.957951212865828,33.78207911612487
1259.0,1242.0,1462.0,1934.0,2692.0,2061.0,-13.957950915150482,33.782171691137414
