B2,B3,B4,B8,B11,B12,latitude,longitude
824.0,736.0,623.0,2343.0,1622.0,1021.0,-15.377045662161681,35.3094891180591
824.0,750.0,614.0,2289.0,1622.0,1021.0,-15.377044696058375,35.309582224006704
785.0,710.0,565.0,2310.0,1751.0,1089.0,-15.377043729916206,35.30967532994773
827.0,764.0,694.0,2599.0,1751.0,1089.0,-15.377042763735167,35.3097684358822
857.0,819.0,701.0,2654.0,1875.0,1110.0,-15.37704179751526,35.3098615418101
832.0,770.0,632.0,2523.0,1875.0,1110.0,-15.377040831256487,35.30995464773143
839.0,799.0,682.0,2451.0,1596.0,866.0,-15.377039864958846,35.310047753646195
825.0,789.0,626.0,2189.0,1596.0,866.0,-15.37703889862234,35.310140859554394
763.0,649.0,455.0,1862.0,1244.0,592.0,-15.377037932246965,35.31023396545602
761.0,673.0,441.0,1899.0,1244.0,592.0,-15.37703696583272,35.31032707135108
768.0,633.0,446.0,2064.0,1254.0,542.0,-15.377035999379611,35.31042017723958
772.0,619.0,426.0,2161.0,1254.0,542.0,-15.377035032887635,35.310513283121495
791.0,712.0,441.0,2903.0,1460.0,763.0,-15.37703406635679,35.310606388996845
829.0,698.0,542.0,2464.0,1460.0,763.0,-15.37703309978708,35.31069949486563
919.0,824.0,813.0,1894.0,1942.0,1285.0,-15.377032133178503,35.310792600727844
1043.0,1041.0,1132.0,2259.0,1942.0,1285.0,-15.377031166531058,35.310885706583484
993.0,987.0,1154.0,2269.0,1843.0,1274.0,-15.377030199844743,35.31097881243256
886.0,856.0,783.0,2175.0,1843.0,1274.0,-15.377029233119563,35.311071918275054
812.0,711.0,540.0,1729.0,1615.0,887.0,-15.377028266355518,35.31116502411099
787.0,684.0,525.0,1803.0,1615.0,887.0,-15.377027299552601,35.31125812994034
820.0,732.0,545.0,2354.0,1807.0,1106.0,-15.377026332710821,35.311351235763134
840.0,769.0,644.0,2380.0,1807.0,1106.0,-15.377025365830173,35.311444341579346
866.0,743.0,742.0,1754.0,1933.0,1114.0,-15.37702439891066,35.311537447389
892.0,788.0,827.0,1588.0,1933.0,1114.0,-15.377023431952278,35.31163055319207
902.0,806.0,863.0,1661.0,1828.0,1165.0,-15.377022464955026,35.31172365898856
859.0,763.0,717.0,1863.0,1828.0,1165.0,-15.37702149791891,35.31181676477849
828.0,746.0,628.0,1972.0,1701.0,980.0,-15.377020530843925,35.31190987056184
830.0,726.0,650.0,1925.0,1701.0,980.0,-15.377019563730075,35.312002976338626
835.0,700.0,657.0,1728.0,1561.0,857.0,-15.377018596577358,35.31209608210883
791.0,653.0,549.0,1414.0,1561.0,857.0,-15.377017629385774,35.31218918787246
817.0,703.0,651.0,1563.0,1599.0,996.0,-15.377016662155324,35.31228229362952
838.0,763.0,719.0,2002.0,1599.0,996.0,-15.377015694886003,35.31237539938001
866.0,756.0,747.0,2046.0,1597.0,1009.0,-15.377014727577818,35.31246850512391
846.0,746.0,665.0,1834.0,1597.0,1009.0,-15.377013760230765,35.312561610861245
793.0,613.0,543.0,1743.0,1388.0,776.0,-15.377012792844846,35.31265471659201
846.0,671.0,477.0,2144.0,1388.0,776.0,-15.37701182542006,35.31274782231619
788.0,651.0,475.0,2655.0,1578.0,928.0,-15.377010857956407,35.3128409280338
