B2,B3,B4,B8,B11,B12,longitude,latitude
1096.0,1013.0,1060.0,1506.0,2024.0,1650.0,35.050889047987646,-15.800012881170282
1115.0,1011.0,1022.0,1917.0,2024.0,1650.0,35.05098236082464,-15.80001200022078
957.0,846.0,801.0,1585.0,1874.0,1507.0,35.05107567365576,-15.800011119231264
935.0,796.0,691.0,1034.0,1874.0,1507.0,35.051168986481,-15.800010238201729
1086.0,934.0,1096.0,1542.0,2024.0,1650.0,35.05088995783302,-15.800103228717262
1079.0,1090.0,978.0,2043.0,2024.0,1650.0,35.05098327071134,-15.800102347762468
1207.0,1114.0,1091.0,2152.0,1874.0,1507.0,35.051076583583786,-15.800101466767657
1096.0,936.0,957.0,1499.0,1874.0,1507.0,35.051169896450354,-15.800100585732828
1012.0,905.0,903.0,1343.0,1535.0,1172.0,35.05126320931104,-15.800099704657985
994.0,893.0,818.0,1529.0,1535.0,1172.0,35.05135652216585,-15.800098823543125
974.0,861.0,804.0,1734.0,1604.0,1147.0,35.05144983501478,-15.800097942388247
995.0,861.0,810.0,1792.0,1604.0,1147.0,35.051543147857835,-15.800097061193352
934.0,845.0,728.0,1539.0,1495.0,1157.0,35.05163646069501,-15.800096179958441
1002.0,867.0,842.0,1199.0,1495.0,1157.0,35.0517297735263,-15.800095298683514
994.0,837.0,843.0,944.0,1536.0,1226.0,35.05182308635171,-15.800094417368568
1022.0,877.0,850.0,1123.0,1536.0,1226.0,35.05191639917125,-15.800093536013609
1000.0,896.0,911.0,1334.0,1873.0,1511.0,35.05200971198491,-15.800092654618629
1034.0,939.0,993.0,1418.0,1873.0,1511.0,35.05210302479268,-15.800091773183636
1036.0,929.0,957.0,1335.0,1755.0,1415.0,35.05219633759457,-15.800090891708624
1072.0,995.0,999.0,1649.0,1755.0,1415.0,35.05228965039059,-15.800090010193598
1295.0,1229.0,1246.0,1675.0,1557.0,1123.0,35.05238296318072,-15.80008912863855
1183.0,1088.0,1073.0,1638.0,1557.0,1123.0,35.05247627596497,-15.800088247043492
1041.0,922.0,836.0,1849.0,1604.0,1214.0,35.052569588743346,-15.800087365408412
1248.0,1155.0,1119.0,1677.0,1604.0,1214.0,35.05266290151582,-15.800086483733319
1460.0,1360.0,1461.0,1704.0,2114.0,1552.0,35.05275621428244,-15.800085602018207
1351.0,1355.0,1379.0,2042.0,2114.0,1552.0,35.05284952704316,-15.800084720263081
1037.0,989.0,988.0,2287.0,2289.0,1626.0,35.05294283979799,-15.800083838467936
1073.0,1095.0,986.0,2447.0,2289.0,1626.0,35.05303615254696,-15.800082956632778
1086.0,1081.0,1091.0,2148.0,1897.0,1287.0,35.053129465290034,-15.800082074757599
1014.0,903.0,892.0,1732.0,1897.0,1287.0,35.05322277802722,-15.800081192842404
884.0,721.0,556.0,1419.0,1284.0,785.0,35.05331609075853,-15.800080310887196
879.0,735.0,579.0,1731.0,1284.0,785.0,35.053409403483954,-15.80007942889197
909.0,823.0,666.0,1995.0,1414.0,1066.0,35.0535027162035,-15.800078546856726
1232.0,1127.0,1112.0,1668.0,1414.0,1066.0,35.05359602891715,-15.800077664781467
1361.0,1310.0,1464.0,1763.0,1852.0,1680.0,35.05368934162492,-15.80007678266619
1315.0,1257.0,1389.0,1801.0,1852.0,1680.0,35.0537826543268,-15.8000759005109
1336.0,1266.0,1373.0,1682.0,2002.0,1730.0,35.053875967022805,-15.80007501831559
1267.0,1212.0,1271.0,1776.0,2002.0,1730.0,35.053969279712916,-15.800074136080264
1222.0,1146.0,1176.0,1633.0,1947.0,1596.0,35.054062592397145,-15.800073253804923
1259.0,1188.0,1194.0,1523.0,1947.0,1596.0,35.05415590507548,-15.800072371489565
1344.0,1287.0,1309.0,1664.0,1868.0,1614.0,35.05424921774794,-15.800071489134192
1220.0,1168.0,1215.0,1862.0,1868.0,1614.0,35.05434253041451,-15.8000706067388
1142.0,1072.0,1078.0,1994.0,1868.0,1516.0,35.0544358430752,-15.800069724303391
1101.0,1078.0,1066.0,1912.0,1868.0,1516.0,35.05452915572999,-15.800068841827969
1090.0,1030.0,1098.0,1723.0,1629.0,1224.0,35.054622468378895,-15.800067959312527
952.0,878.0,871.0,1501.0,1629.0,1224.0,35.05471578102191,-15.800067076757072
912.0,799.0,719.0,1766.0,1480.0,1020.0,35.05480909365905,-15.800066194161598
945.0,851.0,713.0,2326.0,1480.0,1020.0,35.05490240629029,-15.80006531152611
974.0,849.0,809.0,1846.0,1658.0,1128.0,35.05499571891565,-15.800064428850604
952.0,888.0,755.0,1554.0,1658.0,1128.0,35.05508903153511,-15.800063546135084
970.0,900.0,818.0,1699.0,1533.0,1034.0,35.05518234414869,-15.800062663379546
916.0,813.0,749.0,1441.0,1533.0,1034.0,35.05527565675638,-15.80006178058399
894.0,854.0,662.0,1552.0,1552.0,1005.0,35.05536896935818,-15.80006089774842
930.0,916.0,726.0,2018.0,1552.0,1005.0,35.055462281954085,-15.800060014872832
987.0,887.0,761.0,1713.0,1707.0,1153.0,35.0555555945441,-15.80005913195723
979.0,886.0,748.0,1885.0,1707.0,1153.0,35.05564890712823,-15.800058249001612
