B2,B3,B4,B8,B11,B12,latitude,longitude
1197.0,1210.0,1338.0,2098.0,2258.0,1881.0,-15.776007203458166,34.99923260288616
1145.0,1185.0,1277.0,2002.0,2193.0,1852.0,-15.776006345957683,34.99932590772962
1309.0,1278.0,1311.0,1825.0,2193.0,1852.0,-15.776005488417246,34.999419212567354
1383.0,1413.0,1450.0,1698.0,2130.0,1840.0,-15.77600463083685,34.99951251739937
1499.0,1492.0,1539.0,1695.0,2130.0,1840.0,-15.776003773216495,34.999605822225654
1247.0,1326.0,1391.0,1851.0,1972.0,1695.0,-15.776002915556186,34.99969912704621
1224.0,1180.0,1261.0,1764.0,1972.0,1695.0,-15.776002057855916,34.99979243186104
1313.0,1316.0,1359.0,1701.0,2155.0,1771.0,-15.776001200115688,34.99988573667014
1394.0,1416.0,1604.0,1957.0,2155.0,1771.0,-15.776000342335504,34.9999790414735
1209.0,1306.0,1550.0,2063.0,2508.0,2044.0,-15.775999484515365,35.000072346271146
1286.0,1270.0,1440.0,2396.0,2508.0,2044.0,-15.775998626655266,35.00016565106306
1388.0,1466.0,1730.0,2340.0,2516.0,2078.0,-15.775997768755209,35.00025895584924
1435.0,1522.0,1671.0,1852.0,2516.0,2078.0,-15.775996910815195,35.00035226062969
1472.0,1444.0,1425.0,1843.0,2376.0,1858.0,-15.775996052835223,35.00044556540441
1362.0,1286.0,1368.0,2144.0,2376.0,1858.0,-15.775995194815296,35.00053887017341
1088.0,1057.0,1009.0,2275.0,2251.0,1706.0,-15.77599433675541,35.000632174936676
1135.0,1230.0,1226.0,2187.0,2251.0,1706.0,-15.775993478655566,35.000725479694204
1286.0,1298.0,1484.0,2180.0,2354.0,1963.0,-15.775992620515764,35.000818784446004
1208.0,1394.0,1650.0,2208.0,2354.0,1963.0,-15.775991762336005,35.00091208919208
1169.0,1287.0,1492.0,2236.0,2407.0,1905.0,-15.77599090411629,35.00100539393241
1087.0,1166.0,1211.0,2220.0,2277.0,1716.0,-15.776097554100987,34.99923348840664
1077.0,1141.0,1290.0,2202.0,2314.0,1893.0,-15.776096696595344,34.99932679329137
1319.0,1248.0,1371.0,1977.0,2314.0,1893.0,-15.776095839049749,34.99942009817036
1367.0,1281.0,1311.0,1893.0,2196.0,1876.0,-15.77609498146419,34.999513403043636
1391.0,1402.0,1475.0,1849.0,2196.0,1876.0,-15.77609412383868,34.99960670791118
1335.0,1274.0,1348.0,1833.0,2098.0,1717.0,-15.77609326617321,34.999700012773
1207.0,1139.0,1190.0,1785.0,2098.0,1717.0,-15.776092408467779,34.99979331762908
1150.0,1190.0,1342.0,1918.0,2245.0,1784.0,-15.776091550722393,34.999886622479444
1276.0,1333.0,1583.0,2191.0,2245.0,1784.0,-15.77609069293705,34.99997992732407
1223.0,1367.0,1675.0,2328.0,2509.0,2000.0,-15.776089835111746,35.000073232162976
1231.0,1378.0,1712.0,2401.0,2509.0,2000.0,-15.776088977246488,35.00016653699615
1329.0,1416.0,1636.0,2239.0,2436.0,2010.0,-15.776088119341269,35.000259841823585
1222.0,1257.0,1341.0,1907.0,2436.0,2010.0,-15.776087261396093,35.0003531466453
1246.0,1211.0,1301.0,1888.0,2318.0,1812.0,-15.776086403410961,35.000446451461286
1209.0,1214.0,1294.0,2044.0,2318.0,1812.0,-15.77608554538587,35.00053975627154
1029.0,1089.0,1046.0,1954.0,2162.0,1723.0,-15.776084687320822,35.00063306107606
1457.0,1323.0,1329.0,2100.0,2162.0,1723.0,-15.776083829215816,35.000726365874854
1489.0,1522.0,1736.0,2290.0,2263.0,1838.0,-15.776082971070851,35.00081967066791
1042.0,1130.0,1365.0,2280.0,2263.0,1838.0,-15.77608211288593,35.00091297545524
1118.0,1137.0,1307.0,2056.0,2350.0,2001.0,-15.776081254661051,35.001006280236844
1179.0,1309.0,1541.0,2208.0,2350.0,2001.0,-15.776080396396216,35.0010995850127
1194.0,1196.0,1348.0,2155.0,2552.0,2252.0,-15.776079538091421,35.00119288978284
1093.0,1114.0,1125.0,1976.0,2552.0,2252.0,-15.77607867974667,35.00128619454724
1149.0,1110.0,1081.0,1882.0,2371.0,2079.0,-15.77607782136196,35.00137949930591
1304.0,1302.0,1292.0,1970.0,2371.0,2079.0,-15.776076962937294,35.00147280405885
1136.0,1224.0,1320.0,2143.0,2207.0,1736.0,-15.776076104472669,35.00156610880605
1102.0,1193.0,1379.0,2231.0,2207.0,1736.0,-15.776075245968087,35.00165941354752
1111.0,1107.0,1270.0,2141.0,2340.0,1865.0,-15.776074387423549,35.00175271828326
1094.0,1113.0,1262.0,2128.0,2340.0,1865.0,-15.776073528839053,35.00184602301326
1087.0,1125.0,1317.0,2211.0,2197.0,1710.0,-15.776072670214596,35.00193932773753
979.0,951.0,1004.0,2051.0,2197.0,1710.0,-15.776071811550185,35.00203263245606
1143.0,1109.0,1190.0,1879.0,1995.0,1600.0,-15.776070952845815,35.00212593716886
1135.0,1195.0,1349.0,1692.0,1995.0,1600.0,-15.77607009410149,35.00221924187592
1204.0,1168.0,1282.0,1763.0,2192.0,1862.0,-15.776069235317204,35.00231254657725
1400.0,1384.0,1492.0,1803.0,2192.0,1862.0,-15.776068376492963,35.00240585127285
1463.0,1512.0,1600.0,1880.0,2452.0,2221.0,-15.776067517628764,35.002499155962695
1300.0,1373.0,1702.0,1886.0,2452.0,2221.0,-15.776066658724606,35.002592460646824
1054.0,948.0,1379.0,1740.0,2529.0,2268.0,-15.776065799780492,35.002685765325204
1001.0,890.0,1621.0,1809.0,2529.0,2268.0,-15.776064940796422,35.00277906999785
1155.0,1096.0,1783.0,2066.0,2525.0,2224.0,-15.776064081772393,35.00287237466477
1400.0,1559.0,1959.0,2250.0,2525.0,2224.0,-15.776063222708405,35.00296567932594
1259.0,1344.0,1711.0,2177.0,2367.0,2003.0,-15.776062363604462,35.003058983981376
1260.0,1304.0,1597.0,2024.0,2367.0,2003.0,-15.776061504460559,35.00315228863108
1352.0,1481.0,1743.0,2048.0,2255.0,1865.0,-15.7760606452767,35.00324559327503
1226.0,1298.0,1572.0,2156.0,2255.0,1865.0,-15.776059786052885,35.00333889791325
1089.0,1144.0,1307.0,2019.0,2164.0,1817.0,-15.776058926789112,35.00343220254574
1153.0,1260.0,1391.0,2138.0,2164.0,1817.0,-15.77605806748538,35.00352550717248
1168.0,1200.0,1364.0,1890.0,2043.0,1611.0,-15.776057208141692,35.00361881179349
1105.0,1093.0,1160.0,1650.0,2043.0,1611.0,-15.77605634875805,35.00371211640876
1058.0,1033.0,1072.0,1555.0,2045.0,1606.0,-15.776055489334448,35.003805421018285
1033.0,1015.0,1027.0,1769.0,2045.0,1606.0,-15.776054629870888,35.00389872562207
1109.0,1138.0,1226.0,1992.0,2128.0,1725.0,-15.77605377036737,35.003992030220125
1114.0,1226.0,1393.0,2069.0,2128.0,1725.0,-15.776052910823896,35.00408533481243
1116.0,1275.0,1389.0,2036.0,2238.0,1870.0,-15.776052051240464,35.004178639398994
1147.0,1219.0,1383.0,2034.0,2238.0,1870.0,-15.776051191617075,35.004271943979816
1165.0,1147.0,1396.0,2098.0,2470.0,2112.0,-15.776050331953728,35.004365248554905
1163.0,1223.0,1638.0,2135.0,2470.0,2112.0,-15.776049472250424,35.004458553124245
1209.0,1340.0,1669.0,2107.0,2655.0,2315.0,-15.776048612507166,35.00455185768785
1391.0,1447.0,1702.0,2034.0,2655.0,2315.0,-15.776047752723947,35.00464516224571
1482.0,1592.0,1704.0,1974.0,2387.0,1978.0,-15.776046892900773,35.004738466797825
1414.0,1400.0,1546.0,1829.0,2387.0,1978.0,-15.776046033037643,35.0048317713442
1262.0,1260.0,1322.0,1736.0,2131.0,1792.0,-15.776045173134552,35.00492507588483
1105.0,1053.0,1076.0,2064.0,2131.0,1792.0,-15.776044313191504,35.00501838041972
1297.0,1269.0,1291.0,2053.0,2235.0,1919.0,-15.776043453208503,35.005111684948865
1441.0,1476.0,1522.0,2018.0,2235.0,1919.0,-15.77604259318554,35.00520498947227
