,year,proj_site,urbanity,rf_std,rf_wgt,xgb_std,knn_std,rf_over,xgb_over,rf_urban_over,rf_semi_urban_over,rf_rural_over
0,2016.0,proj_2_5,urban,736.0,476.0,736.0,1773.0,2444.0,25463.0,2500.0,,
1,2017.0,proj_2_5,urban,606.0,492.0,606.0,1541.0,1894.0,19927.0,1951.0,,
2,2018.0,proj_2_5,urban,4100.0,2120.0,4100.0,4749.0,5371.0,23294.0,5671.0,,
3,2019.0,proj_2_5,urban,650.0,392.0,650.0,1894.0,2229.0,24756.0,2196.0,,
4,2020.0,proj_2_5,urban,1253.0,870.0,1253.0,3169.0,4762.0,30034.0,4605.0,,
5,2021.0,proj_2_5,urban,3791.0,3746.0,3791.0,2166.0,4861.0,23593.0,4806.0,,
0,2016.0,proj_2_10,urban,300.0,119.0,300.0,411.0,756.0,19441.0,785.0,,
1,2017.0,proj_2_10,urban,288.0,145.0,288.0,487.0,1221.0,23967.0,1277.0,,
2,2018.0,proj_2_10,urban,433.0,141.0,433.0,541.0,739.0,13712.0,809.0,,
3,2019.0,proj_2_10,urban,512.0,201.0,512.0,543.0,884.0,13286.0,991.0,,
4,2020.0,proj_2_10,urban,390.0,124.0,390.0,515.0,739.0,17790.0,824.0,,
5,2021.0,proj_2_10,urban,2906.0,2846.0,2906.0,757.0,3720.0,17750.0,3725.0,,
0,2016.0,proj_2_12,urban,3753.0,2884.0,3753.0,3392.0,6055.0,27482.0,6250.0,,
1,2017.0,proj_2_12,urban,3928.0,3081.0,3928.0,3595.0,6399.0,31018.0,6630.0,,
2,2018.0,proj_2_12,urban,4074.0,3142.0,4074.0,3528.0,5912.0,24833.0,6268.0,,
3,2019.0,proj_2_12,urban,4612.0,3539.0,4612.0,3823.0,7079.0,27740.0,7352.0,,
4,2020.0,proj_2_12,urban,4502.0,3373.0,4502.0,4100.0,6470.0,27125.0,6800.0,,
5,2021.0,proj_2_12,urban,7329.0,7118.0,7329.0,4448.0,8587.0,29744.0,8618.0,,
0,2016.0,proj_2_19,urban,82.0,6.0,82.0,192.0,122.0,4029.0,179.0,,
1,2017.0,proj_2_19,urban,70.0,13.0,70.0,169.0,178.0,5830.0,240.0,,
2,2018.0,proj_2_19,urban,133.0,5.0,133.0,284.0,150.0,3486.0,221.0,,
3,2019.0,proj_2_19,urban,109.0,1.0,109.0,251.0,126.0,3471.0,188.0,,
4,2020.0,proj_2_19,urban,115.0,14.0,115.0,296.0,246.0,6605.0,360.0,,
5,2021.0,proj_2_19,urban,1563.0,1547.0,1563.0,330.0,2052.0,11270.0,2059.0,,
0,2016.0,proj_2_19,urban,82.0,6.0,82.0,192.0,122.0,4029.0,179.0,,
1,2017.0,proj_2_19,urban,70.0,13.0,70.0,169.0,178.0,5830.0,240.0,,
2,2018.0,proj_2_19,urban,133.0,5.0,133.0,284.0,150.0,3486.0,221.0,,
3,2019.0,proj_2_19,urban,109.0,1.0,109.0,251.0,126.0,3471.0,188.0,,
4,2020.0,proj_2_19,urban,115.0,14.0,115.0,296.0,246.0,6605.0,360.0,,
5,2021.0,proj_2_19,urban,1563.0,1547.0,1563.0,330.0,2052.0,11270.0,2059.0,,
0,2016.0,proj_2_20,urban,149.0,75.0,149.0,243.0,559.0,6498.0,637.0,,
1,2017.0,proj_2_20,urban,284.0,106.0,284.0,267.0,828.0,8604.0,913.0,,
2,2018.0,proj_2_20,urban,302.0,143.0,302.0,342.0,806.0,5171.0,843.0,,
3,2019.0,proj_2_20,urban,231.0,107.0,231.0,318.0,811.0,8550.0,896.0,,
4,2020.0,proj_2_20,urban,247.0,119.0,247.0,321.0,915.0,9468.0,997.0,,
5,2021.0,proj_2_20,urban,1465.0,1436.0,1465.0,461.0,1876.0,6991.0,1879.0,,
0,2016.0,proj_2_21,urban,319.0,199.0,319.0,708.0,1018.0,8561.0,1132.0,,
1,2017.0,proj_2_21,urban,455.0,232.0,455.0,893.0,1150.0,8196.0,1311.0,,
2,2018.0,proj_2_21,urban,513.0,281.0,513.0,899.0,1123.0,5828.0,1265.0,,
3,2019.0,proj_2_21,urban,412.0,217.0,412.0,893.0,1156.0,10332.0,1409.0,,
4,2020.0,proj_2_21,urban,530.0,283.0,530.0,1123.0,1431.0,11224.0,1663.0,,
5,2021.0,proj_2_21,urban,2303.0,2265.0,2303.0,1241.0,2941.0,11971.0,2943.0,,
0,2016.0,proj_2_22,urban,333.0,2265.0,333.0,1147.0,1032.0,20880.0,1198.0,,
1,2017.0,proj_2_22,urban,391.0,2265.0,391.0,1103.0,1033.0,10752.0,1168.0,,
2,2018.0,proj_2_22,urban,383.0,2265.0,383.0,944.0,942.0,10183.0,1065.0,,
3,2019.0,proj_2_22,urban,478.0,2265.0,478.0,1190.0,1189.0,18194.0,1404.0,,
4,2020.0,proj_2_22,urban,543.0,2265.0,543.0,1997.0,2003.0,32482.0,2274.0,,
5,2021.0,proj_2_22,urban,3135.0,2265.0,3135.0,1623.0,3905.0,21128.0,3945.0,,
0,2016.0,proj_2_24,urban,1072.0,558.0,1072.0,1276.0,2066.0,17792.0,2316.0,,
1,2017.0,proj_2_24,urban,1192.0,668.0,1192.0,1321.0,2745.0,22633.0,3075.0,,
2,2019.0,proj_2_24,urban,1052.0,613.0,1052.0,1422.0,2440.0,22410.0,2752.0,,
3,2020.0,proj_2_24,urban,1117.0,638.0,1117.0,1474.0,2926.0,26687.0,3281.0,,
4,2021.0,proj_2_24,urban,4600.0,4529.0,4600.0,1543.0,5860.0,25309.0,5878.0,,
