,year,proj_site,urbanity,rf_std,rf_wgt,xgb_std,knn_std,rf_over,xgb_over,rf_urban_over,rf_semi_urban_over,rf_rural_over
0,2019.0,proj_2_10,urban,1142.0,323.0,1142.0,1842.0,1989.0,47326.0,2506.0,,
1,2020.0,proj_2_10,urban,907.0,243.0,907.0,1852.0,1710.0,67605.0,2178.0,,
2,2021.0,proj_2_10,urban,3807.0,3108.0,3807.0,2713.0,5770.0,67557.0,6310.0,,
0,2016.0,proj_2_12,urban,7941.0,5237.0,7941.0,8230.0,11617.0,92471.0,11824.0,,
1,2018.0,proj_2_12,urban,8827.0,5580.0,8827.0,8615.0,11508.0,72835.0,11994.0,,
2,2019.0,proj_2_12,urban,9987.0,6391.0,9987.0,9388.0,13692.0,88944.0,14115.0,,
3,2020.0,proj_2_12,urban,10359.0,6464.0,10359.0,10697.0,13268.0,96562.0,13754.0,,
0,2016.0,proj_2_19,urban,185.0,13.0,185.0,753.0,344.0,17176.0,587.0,,
1,2017.0,proj_2_19,urban,141.0,19.0,141.0,724.0,421.0,25015.0,678.0,,
2,2018.0,proj_2_19,urban,361.0,14.0,361.0,1011.0,443.0,15084.0,757.0,,
3,2019.0,proj_2_19,urban,234.0,17.0,234.0,945.0,389.0,15545.0,606.0,,
4,2020.0,proj_2_19,urban,268.0,27.0,268.0,1212.0,629.0,30118.0,1006.0,,
5,2021.0,proj_2_19,urban,1733.0,1571.0,1733.0,1322.0,2598.0,44842.0,2996.0,,
0,2016.0,proj_2_19,urban,185.0,13.0,185.0,753.0,344.0,17176.0,587.0,,
1,2017.0,proj_2_19,urban,141.0,19.0,141.0,724.0,421.0,25015.0,678.0,,
2,2018.0,proj_2_19,urban,361.0,14.0,361.0,1011.0,443.0,15084.0,757.0,,
3,2019.0,proj_2_19,urban,234.0,17.0,234.0,945.0,389.0,15545.0,606.0,,
4,2020.0,proj_2_19,urban,268.0,27.0,268.0,1212.0,629.0,30118.0,1006.0,,
5,2021.0,proj_2_19,urban,1733.0,1571.0,1733.0,1322.0,2598.0,44842.0,2996.0,,
0,2016.0,proj_2_20,urban,250.0,90.0,250.0,449.0,816.0,12789.0,973.0,,
1,2017.0,proj_2_20,urban,449.0,139.0,449.0,531.0,1234.0,18021.0,1445.0,,
2,2018.0,proj_2_20,urban,483.0,174.0,483.0,691.0,1212.0,10509.0,1331.0,,
3,2019.0,proj_2_20,urban,408.0,146.0,408.0,654.0,1235.0,17843.0,1466.0,,
4,2021.0,proj_2_20,urban,1630.0,1483.0,1630.0,784.0,2287.0,14201.0,2386.0,,
0,2016.0,proj_2_21,urban,1199.0,651.0,1199.0,2176.0,2874.0,33222.0,3236.0,,
1,2017.0,proj_2_21,urban,1401.0,671.0,1401.0,2536.0,3073.0,28456.0,3459.0,,
2,2018.0,proj_2_21,urban,1712.0,812.0,1712.0,2577.0,3232.0,19475.0,3615.0,,
3,2020.0,proj_2_21,urban,1521.0,729.0,1521.0,2962.0,3568.0,44868.0,4167.0,,
4,2021.0,proj_2_21,urban,1982.0,980.0,1982.0,3401.0,4254.0,40585.0,4984.0,,
0,2016.0,proj_2_22,urban,654.0,393.0,654.0,3732.0,2366.0,86238.0,3047.0,,
1,2017.0,proj_2_22,urban,919.0,551.0,919.0,3438.0,2582.0,36740.0,3180.0,,
2,2018.0,proj_2_22,urban,812.0,489.0,812.0,3048.0,2422.0,33380.0,2982.0,,
3,2019.0,proj_2_22,urban,1153.0,559.0,1153.0,4355.0,3182.0,67875.0,4075.0,,
4,2020.0,proj_2_22,urban,1158.0,765.0,1158.0,7895.0,5515.0,165916.0,6911.0,,
5,2021.0,proj_2_22,urban,4028.0,3615.0,4028.0,6134.0,7319.0,85508.0,8395.0,,
0,2019.0,proj_2_24,urban,2590.0,1032.0,2590.0,4179.0,6956.0,93552.0,8046.0,,
0,2016.0,proj_2_27,urban,2321.0,619.0,2321.0,5163.0,4880.0,136981.0,5027.0,,
1,2017.0,proj_2_27,urban,2867.0,585.0,2867.0,4284.0,3940.0,45601.0,4217.0,,
2,2018.0,proj_2_27,urban,3238.0,640.0,3238.0,5090.0,3997.0,43011.0,4495.0,,
3,2019.0,proj_2_27,urban,2912.0,603.0,2912.0,5405.0,4740.0,67841.0,5159.0,,
4,2020.0,proj_2_27,urban,4211.0,987.0,4211.0,6491.0,6895.0,76885.0,7066.0,,
5,2021.0,proj_2_27,urban,4117.0,1876.0,4117.0,5460.0,6628.0,93448.0,6800.0,,
0,2019.0,proj_7_1,urban,1142.0,323.0,1142.0,1842.0,1989.0,47326.0,2506.0,,
1,2020.0,proj_7_1,urban,907.0,243.0,907.0,1852.0,1710.0,67605.0,2178.0,,
2,2021.0,proj_7_1,urban,3807.0,3108.0,3807.0,2713.0,5770.0,67557.0,6310.0,,
0,2016.0,proj_7_2,urban,318.0,184.0,318.0,1071.0,1306.0,41427.0,1781.0,,
1,2017.0,proj_7_2,urban,437.0,227.0,437.0,1303.0,1532.0,28876.0,2003.0,,
2,2018.0,proj_7_2,urban,394.0,233.0,394.0,1325.0,1582.0,34040.0,2088.0,,
3,2019.0,proj_7_2,urban,303.0,171.0,303.0,1277.0,1540.0,56054.0,2135.0,,
4,2020.0,proj_7_2,urban,447.0,232.0,447.0,1791.0,1732.0,57450.0,2489.0,,
5,2021.0,proj_7_2,urban,2990.0,2851.0,2990.0,1708.0,4433.0,40959.0,4807.0,,
0,2016.0,proj_7_3,urban,189.0,54.0,189.0,858.0,434.0,23437.0,538.0,,
