B2,B3,B4,B8,B11,B12,latitude,longitude
1241.0,1108.0,1211.0,1568.0,2891.0,2348.0,-14.970347070767538,34.94647928849383
1237.0,1098.0,1220.0,1634.0,2891.0,2348.0,-14.970346277461868,34.946572238501055
1251.0,1129.0,1224.0,1803.0,3066.0,2441.0,-14.970345484118376,34.94666518850279
1239.0,1122.0,1264.0,1735.0,3066.0,2441.0,-14.970344690737054,34.94675813849902
1276.0,1198.0,1443.0,1880.0,3260.0,2629.0,-14.97034389731791,34.94685108848976
1324.0,1323.0,1727.0,2254.0,3260.0,2629.0,-14.970343103860936,34.946944038474996
1308.0,1272.0,1610.0,2185.0,3255.0,2756.0,-14.970342310366139,34.947036988454734
1338.0,1314.0,1681.0,2187.0,3255.0,2756.0,-14.97034151683351,34.94712993842898
1355.0,1377.0,1809.0,2361.0,3443.0,2992.0,-14.97034072326306,34.94722288839772
1345.0,1344.0,1773.0,2291.0,3443.0,2992.0,-14.970339929654784,34.947315838360964
1328.0,1300.0,1653.0,2058.0,3309.0,2912.0,-14.970339136008679,34.94740878831871
1326.0,1273.0,1563.0,1953.0,3309.0,2912.0,-14.97033834232475,34.94750173827096
1327.0,1302.0,1614.0,2031.0,3300.0,2771.0,-14.970337548602991,34.9475946882177
1324.0,1321.0,1667.0,2143.0,3300.0,2771.0,-14.970336754843409,34.947687638158946
1349.0,1316.0,1649.0,2145.0,3148.0,2627.0,-14.970335961045997,34.947780588094695
1316.0,1268.0,1534.0,2058.0,3148.0,2627.0,-14.970335167210763,34.94787353802494
1304.0,1243.0,1482.0,1978.0,2963.0,2468.0,-14.970334373337701,34.94796648794968
1312.0,1239.0,1475.0,1909.0,2963.0,2468.0,-14.970333579426812,34.94805943786893
1327.0,1251.0,1502.0,1869.0,2907.0,2505.0,-14.970332785478098,34.94815238778267
1325.0,1254.0,1505.0,1864.0,2907.0,2505.0,-14.970331991491559,34.94824533769091
1340.0,1272.0,1485.0,1881.0,2831.0,2400.0,-14.970331197467193,34.94833828759365
1380.0,1319.0,1549.0,1910.0,2831.0,2400.0,-14.970330403404999,34.94843123749089
1367.0,1294.0,1524.0,1859.0,2887.0,2419.0,-14.970329609304981,34.94852418738262
1295.0,1221.0,1393.0,1767.0,2887.0,2419.0,-14.970328815167136,34.94861713726885
1290.0,1241.0,1446.0,1883.0,2949.0,2462.0,-14.970328020991463,34.94871008714958
1312.0,1250.0,1451.0,1921.0,2949.0,2462.0,-14.970327226777966,34.94880303702481
1324.0,1267.0,1445.0,1895.0,2877.0,2330.0,-14.970326432526642,34.948895986894534
1312.0,1275.0,1466.0,1946.0,2877.0,2330.0,-14.97032563823749,34.948988936758745
1306.0,1275.0,1453.0,1961.0,2745.0,2248.0,-14.970324843910515,34.949081886617456
1302.0,1211.0,1345.0,1761.0,2745.0,2248.0,-14.970324049545715,34.94917483647067
1296.0,1218.0,1344.0,1740.0,2679.0,2246.0,-14.970323255143084,34.94926778631838
1309.0,1236.0,1381.0,1725.0,2679.0,2246.0,-14.97032246070263,34.94936073616058
