,latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
212,-14.98144877,34.95346983,39.7481,0.72,"POLYGON((34.9535025802866 -14.9814237830867, 34.9534496740203 -14.981413346876, 34.9534370627543 -14.9814737599807, 34.9534899690356 -14.981484196193, 34.9535025802866 -14.9814237830867))",5GQP2X93+C9H2
1299,-14.9801154,34.95723516,30.3532,0.7922,"POLYGON((34.9572665761008 -14.9800967959551, 34.9572085190056 -14.9800907409081, 34.9572037429248 -14.9801340144914, 34.9572618000319 -14.9801400695382, 34.9572665761008 -14.9800967959551))",5GQP2X94+XV58
1450,-14.98392159,34.95996688,32.6771,0.7247,"POLYGON((34.960001368831 -14.9839368920583, 34.9599892893561 -14.9838918698907, 34.9599323923564 -14.9839062946659, 34.9599444718209 -14.9839513168377, 34.960001368831 -14.9839368920583))",5GQP2X85+CXP5
4764,-14.97809755,34.94785612,82.6927,0.7414,"POLYGON((34.9479127584358 -14.978076793322, 34.9478486680727 -14.9780391668739, 34.9477994930521 -14.9781183196447, 34.9478635834337 -14.9781559461046, 34.9479127584358 -14.978076793322))",5GQP2WCX+Q493
4893,-14.97490086,34.96337011,84.209,0.8374,"POLYGON((34.9634303302939 -14.9749114209983, 34.9633956322736 -14.9748468011115, 34.9633098929049 -14.9748903075883, 34.9633445909095 -14.9749549274895, 34.9634303302939 -14.9749114209983))",5GQP2XG7+28QX
5515,-14.97666518,34.95707261,44.4353,0.8519,"POLYGON((34.9571148862587 -14.9766787929248, 34.9570750207761 -14.9766219488083, 34.9570303414152 -14.9766515593555, 34.9570702068934 -14.9767084034802, 34.9571148862587 -14.9766787929248))",5GQP2XF4+8RP7
6143,-14.98029731,34.95725095,42.4664,0.8141,"POLYGON((34.9572784763463 -14.9803291334176, 34.9572843351567 -14.98027132377, 34.9572234242272 -14.980265490418, 34.9572175654003 -14.980323300066, 34.9572784763463 -14.9803291334176))",5GQP2X94+VWJ2
6974,-14.97903509,34.96437202,39.3861,0.6963,"POLYGON((34.964370403142 -14.979002009891, 34.9643605942898 -14.9790305422945, 34.9643270589371 -14.9790196479465, 34.9643192525581 -14.9790423554563, 34.9643958155579 -14.9790672278236, 34.9644134307755 -14.9790159879076, 34.964370403142 -14.979002009891))",5GQP2XC7+9PQH
8671,-14.98101474,34.95828637,28.479,0.783,"POLYGON((34.9583171485528 -14.9810330949095, 34.9583145801885 -14.980992816878, 34.9582556094333 -14.9809963701978, 34.9582581777869 -14.9810366482311, 34.9583171485528 -14.9810330949095))",5GQP2X95+H8VC
8839,-14.9798234,34.96042816,48.1788,0.7789,"POLYGON((34.9604669039921 -14.9798497075145, 34.9604676312713 -14.979798145645, 34.9603894163634 -14.9797971031278, 34.9603886890654 -14.979848665001, 34.9604669039921 -14.9798497075145))",5GQP2XC6+35F4
