B2,B3,B4,B8,B11,B12,latitude,longitude
923.0,883.0,876.0,2329.0,1830.0,1183.0,-15.78052473462222,34.9992768859258
870.0,789.0,801.0,2121.0,1922.0,1237.0,-15.780523876863795,34.999370192832615
881.0,785.0,767.0,2002.0,1922.0,1237.0,-15.780523019065399,34.9994634997337
981.0,922.0,985.0,2160.0,1955.0,1311.0,-15.780522161227035,34.99955680662906
1047.0,975.0,1149.0,1879.0,1955.0,1311.0,-15.780521303348698,34.99965011351868
1073.0,1094.0,1135.0,2091.0,2010.0,1375.0,-15.780520445430394,34.99974342040259
1015.0,982.0,1047.0,2221.0,2010.0,1375.0,-15.78051958747212,34.99983672728076
1148.0,1102.0,1129.0,1961.0,2122.0,1532.0,-15.780518729473878,34.9999300341532
1176.0,1147.0,1292.0,2074.0,2122.0,1532.0,-15.780517871435665,35.00002334101991
1021.0,984.0,1060.0,2221.0,2352.0,1554.0,-15.78051701335748,35.0001166478809
932.0,888.0,930.0,2149.0,2352.0,1554.0,-15.780516155239331,35.00020995473616
925.0,874.0,897.0,2031.0,2535.0,1853.0,-15.780515297081207,35.00030326158568
950.0,947.0,1014.0,2111.0,2535.0,1853.0,-15.780514438883117,35.00039656842948
1039.0,1048.0,1243.0,2047.0,2704.0,2225.0,-15.780513580645056,35.00048987526754
1082.0,1046.0,1245.0,1818.0,2704.0,2225.0,-15.780512722367025,35.000583182099874
1042.0,1032.0,1170.0,1562.0,2631.0,2228.0,-15.780511864049029,35.00067648892647
1113.0,1115.0,1312.0,1771.0,2631.0,2228.0,-15.780511005691057,35.000769795747345
1063.0,1069.0,1300.0,2029.0,2361.0,1870.0,-15.78051014729312,35.000863102562484
1138.0,1209.0,1390.0,2209.0,2361.0,1870.0,-15.780509288855212,35.00095640937189
1163.0,1171.0,1398.0,2204.0,2174.0,1618.0,-15.780508430377335,35.00104971617556
1051.0,1065.0,1189.0,2117.0,2174.0,1618.0,-15.780507571859488,35.0011430229735
1188.0,1300.0,1310.0,2202.0,1906.0,1451.0,-15.780506713301673,35.00123632976572
1205.0,1267.0,1332.0,1953.0,1906.0,1451.0,-15.780505854703886,35.00132963655219
929.0,879.0,782.0,1616.0,1551.0,1020.0,-15.780504996066131,35.00142294333293
793.0,692.0,569.0,1762.0,1551.0,1020.0,-15.78050413738841,35.00151625010794
834.0,785.0,626.0,2448.0,1485.0,832.0,-15.780503278670716,35.00160955687723
821.0,755.0,597.0,2287.0,1485.0,832.0,-15.780502419913054,35.00170286364076
788.0,667.0,488.0,1776.0,1409.0,781.0,-15.78050156111542,35.00179617039858
781.0,693.0,471.0,2238.0,1409.0,781.0,-15.780500702277818,35.00188947715064
785.0,699.0,501.0,2270.0,1578.0,928.0,-15.78049984340025,35.001982783896985
804.0,713.0,554.0,2189.0,1578.0,928.0,-15.780498984482708,35.002076090637594
879.0,834.0,779.0,2314.0,1922.0,1370.0,-15.7804981255252,35.002169397372455
958.0,937.0,1074.0,1941.0,1922.0,1370.0,-15.780497266527723,35.00226270410159
925.0,850.0,925.0,1673.0,1825.0,1420.0,-15.780496407490274,35.00235601082499
826.0,769.0,738.0,1460.0,1825.0,1420.0,-15.780495548412858,35.00244931754265
909.0,782.0,1083.0,1550.0,1902.0,1723.0,-15.78049468929547,35.00254262425457
1004.0,879.0,1344.0,1710.0,1902.0,1723.0,-15.780493830138115,35.00263593096076
877.0,753.0,869.0,1494.0,1553.0,1218.0,-15.780492970940793,35.002729237661214
850.0,791.0,635.0,1615.0,1553.0,1218.0,-15.780492111703499,35.00282254435592
912.0,825.0,732.0,1573.0,1438.0,992.0,-15.780491252426236,35.002915851044904
855.0,823.0,632.0,1994.0,1438.0,992.0,-15.780490393109003,35.00300915772814
899.0,785.0,772.0,1864.0,1775.0,1212.0,-15.78061508522517,34.99927777173264
906.0,809.0,727.0,1952.0,1915.0,1298.0,-15.780614227461584,34.999371078680724
932.0,879.0,895.0,2173.0,1915.0,1298.0,-15.78061336965803,34.999464385623085
940.0,934.0,956.0,2233.0,2177.0,1536.0,-15.780612511814503,34.99955769255972
959.0,932.0,1005.0,2201.0,2177.0,1536.0,-15.78061165393101,34.99965099949062
1039.0,1039.0,1110.0,2223.0,2295.0,1660.0,-15.780610796007545,34.99974430641579
1079.0,1059.0,1140.0,2151.0,2295.0,1660.0,-15.78060993804411,34.99983761333524
1083.0,1083.0,1135.0,1958.0,2277.0,1629.0,-15.780609080040705,34.99993092024895
1036.0,1027.0,1079.0,2129.0,2277.0,1629.0,-15.780608221997333,35.00002422715694
948.0,895.0,898.0,2183.0,2273.0,1547.0,-15.78060736391399,35.0001175340592
911.0,859.0,834.0,2024.0,2273.0,1547.0,-15.780606505790676,35.000210840955724
899.0,849.0,818.0,2030.0,2402.0,1720.0,-15.780605647627393,35.00030414784652
