B2,B3,B4,B8,B11,B12,latitude,longitude
1034.0,938.0,1069.0,1687.0,2533.0,1847.0,-15.642893934458993,34.93023161773235
1089.0,951.0,1089.0,1519.0,2683.0,1940.0,-15.64289311334269,34.930324865877324
1107.0,971.0,1157.0,1514.0,2683.0,1940.0,-15.642892292186778,34.930418114016774
1105.0,1018.0,1297.0,1649.0,2898.0,2139.0,-15.642891470991254,34.93051136215071
1125.0,1055.0,1319.0,1718.0,2898.0,2139.0,-15.64289064975612,34.930604610279126
1149.0,1091.0,1422.0,1790.0,2973.0,2175.0,-15.642889828481374,34.93069785840203
1110.0,1075.0,1454.0,1869.0,2973.0,2175.0,-15.642889007167023,34.93079110651941
1078.0,972.0,1212.0,1612.0,2701.0,1953.0,-15.64288818581306,34.930884354631274
1053.0,916.0,1078.0,1492.0,2701.0,1953.0,-15.642887364419487,34.93097760273762
1074.0,932.0,1082.0,1479.0,2568.0,1864.0,-15.642886542986306,34.93107085083845
1063.0,932.0,1107.0,1557.0,2568.0,1864.0,-15.642885721513514,34.93116409893376
1037.0,897.0,1089.0,1392.0,2441.0,1886.0,-15.64288490000111,34.93125734702355
997.0,870.0,1046.0,1258.0,2441.0,1886.0,-15.642884078449098,34.93135059510783
1037.0,892.0,1065.0,1280.0,2359.0,1893.0,-15.642883256857479,34.93144384318658
1038.0,883.0,1073.0,1294.0,2359.0,1893.0,-15.642882435226245,34.93153709125981
1019.0,874.0,1012.0,1215.0,2373.0,1900.0,-15.642881613555405,34.93163033932753
1044.0,876.0,1010.0,1206.0,2373.0,1900.0,-15.642880791844954,34.93172358738972
1041.0,905.0,1015.0,1251.0,2537.0,1963.0,-15.642879970094894,34.9318168354464
1045.0,916.0,1075.0,1334.0,2537.0,1963.0,-15.642879148305223,34.93191008349755
1078.0,937.0,1095.0,1410.0,2670.0,2039.0,-15.642878326475943,34.932003331543186
1119.0,1015.0,1186.0,1526.0,2670.0,2039.0,-15.64287750460705,34.932096579583295
1165.0,1077.0,1280.0,1640.0,2734.0,2049.0,-15.642876682698551,34.93218982761788
1171.0,1052.0,1261.0,1616.0,2734.0,2049.0,-15.642875860750442,34.93228307564695
1138.0,1000.0,1201.0,1544.0,2717.0,1984.0,-15.642875038762725,34.932376323670496
1045.0,919.0,1105.0,1386.0,2717.0,1984.0,-15.642874216735397,34.93246957168852
1126.0,998.0,1167.0,1552.0,2786.0,2017.0,-15.64287339466846,34.932562819701026
1152.0,1040.0,1220.0,1625.0,2786.0,2017.0,-15.64287257256191,34.932656067708
1153.0,1033.0,1224.0,1597.0,2834.0,2033.0,-15.642871750415754,34.93274931570945
1121.0,968.0,1133.0,1505.0,2834.0,2033.0,-15.642870928229986,34.932842563705385
1091.0,950.0,1068.0,1449.0,2737.0,1969.0,-15.642870106004608,34.9329358116958
1052.0,942.0,1068.0,1480.0,2737.0,1969.0,-15.642869283739623,34.93302905968068
1043.0,917.0,1091.0,1489.0,2691.0,2014.0,-15.642868461435027,34.93312230766004
1013.0,912.0,1116.0,1482.0,2691.0,2014.0,-15.642867639090822,34.93321555563388
1039.0,920.0,1049.0,1565.0,2618.0,1966.0,-15.642866816707008,34.93330880360219
