B2,B3,B4,B8,B11,B12,latitude,longitude
1216.0,1172.0,1258.0,2066.0,2916.0,2242.0,-14.473723248565474,35.255256130405215
1216.0,1159.0,1387.0,2237.0,3171.0,2445.0,-14.473722359266189,35.255348851837375
1278.0,1284.0,1511.0,2307.0,3171.0,2445.0,-14.473721469930418,35.25544157326322
1349.0,1284.0,1519.0,1950.0,3246.0,2772.0,-14.473720580558155,35.25553429468275
1357.0,1338.0,1537.0,1912.0,3246.0,2772.0,-14.473719691149403,35.25562701609597
1308.0,1485.0,1300.0,2027.0,3187.0,2662.0,-14.473718801704162,35.25571973750287
1369.0,1179.0,1118.0,2036.0,3187.0,2662.0,-14.473717912222432,35.25581245890346
1103.0,1126.0,1110.0,2033.0,2866.0,2189.0,-14.47371702270421,35.255905180297745
1245.0,1163.0,1224.0,1930.0,2866.0,2189.0,-14.4737161331495,35.2559979016857
1286.0,1307.0,1543.0,2289.0,3110.0,2459.0,-14.473715243558301,35.256090623067344
1312.0,1324.0,1686.0,2440.0,3110.0,2459.0,-14.473714353930614,35.25618334444267
1250.0,1243.0,1436.0,2321.0,3431.0,2640.0,-14.473713464266435,35.25627606581168
1195.0,1179.0,1351.0,2019.0,3431.0,2640.0,-14.473712574565768,35.25636878717438
1280.0,1252.0,1417.0,2084.0,3329.0,2697.0,-14.473711684828613,35.25646150853076
1412.0,1374.0,1496.0,1931.0,3329.0,2697.0,-14.473710795054965,35.25655422988082
1359.0,1306.0,1432.0,2027.0,2973.0,2487.0,-14.47370990524483,35.25664695122457
1300.0,1304.0,1538.0,2235.0,2973.0,2487.0,-14.473709015398207,35.256739672562
1473.0,1458.0,1664.0,2034.0,3032.0,2463.0,-14.473708125515094,35.256832393893106
1519.0,1456.0,1596.0,1952.0,3032.0,2463.0,-14.473707235595489,35.256925115217896
1314.0,1286.0,1453.0,1986.0,3103.0,2761.0,-14.473706345639398,35.25701783653637
1377.0,1359.0,1566.0,2176.0,3103.0,2761.0,-14.473705455646813,35.25711055784853
1307.0,1396.0,1713.0,2132.0,3034.0,2462.0,-14.473704565617744,35.25720327915436
1203.0,1081.0,1103.0,1692.0,3034.0,2462.0,-14.473703675552185,35.25729600045388
1290.0,1208.0,1334.0,1829.0,2929.0,2397.0,-14.473702785450136,35.257388721747084
1266.0,1175.0,1365.0,1959.0,2929.0,2397.0,-14.473701895311596,35.25748144303396
1127.0,1091.0,1220.0,2135.0,2941.0,2113.0,-14.473701005136567,35.25757416431452
1151.0,1096.0,1197.0,2131.0,2941.0,2113.0,-14.473700114925052,35.257666885588755
