,latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
5957723,-13.79787768,32.8825094,129.0301,0.7877,"POLYGON((32.882564248776 -13.7979331963252, 32.882554098805 -13.7978224378732, 32.8824428889614 -13.7978321720651, 32.8824481471384 -13.7978895506209, 32.8824791924451 -13.7978868332314, 32.8824840841944 -13.7979402131315, 32.882564248776 -13.7979331963252))",5GRJ6V2M+R2RV
5959132,-13.79834441,32.88728141,27.2801,0.7965,"POLYGON((32.8873084390194 -13.7983647281699, 32.8873016258415 -13.7983175633118, 32.887254397392 -13.7983240796365, 32.8872612105608 -13.7983712444958, 32.8873084390194 -13.7983647281699))",5GRJ6V2P+MW76
5960132,-13.79950266,32.87440075,72.1732,0.7747,"POLYGON((32.8744508299994 -13.7994792705967, 32.8743798919673 -13.7994523928035, 32.8743506716848 -13.7995260531094, 32.8744216097357 -13.7995529309109, 32.8744508299994 -13.7994792705967))",5GRJ6V2F+5QRX
5962447,-13.79686773,32.8864248,52.1591,0.7807,"POLYGON((32.8864489712189 -13.7968174871915, 32.8864069205377 -13.796815032388, 32.8864006294707 -13.7969179651558, 32.8864426801698 -13.7969204199605, 32.8864489712189 -13.7968174871915))",5GRJ6V3P+7H38
5962576,-13.79912945,32.88915523,83.5255,0.8331,"POLYGON((32.8892040810984 -13.7990958129203, 32.8891167704564 -13.799084746107, 32.8891063725488 -13.7991630990116, 32.8891936832195 -13.7991741658287, 32.8892040810984 -13.7990958129203))",5GRJ6V2Q+8MRX
5966008,-13.79551125,32.88886949,25.0352,0.7023,"POLYGON((32.8889021479415 -13.7955126738773, 32.8888731392838 -13.7954794916575, 32.8888368197806 -13.7955098194527, 32.8888658284365 -13.7955430016771, 32.8889021479415 -13.7955126738773))",5GRJ6V3Q+QGXH
5969013,-13.80246717,32.87673809,29.244,0.7671,"POLYGON((32.8767684627501 -13.8024868547375, 32.8767675041198 -13.8024461340544, 32.8767077255744 -13.8024474781548, 32.8767086841944 -13.802488198838, 32.8767684627501 -13.8024868547375))",5GRJ5VXG+2M98
5969600,-13.80196113,32.87719506,36.0017,0.714,"POLYGON((32.8772127528142 -13.8019972509898, 32.8772216337235 -13.8019306435092, 32.8771773707748 -13.8019250067495, 32.877168489853 -13.8019916142284, 32.8772127528142 -13.8019972509898))",5GRJ5VXG+6V8C
5978130,-13.80142911,32.88406701,25.0126,0.7463,"POLYGON((32.8840976771299 -13.8014411236316, 32.8840856382284 -13.8014024467986, 32.8840363409762 -13.8014171027835, 32.8840483798702 -13.8014557796186, 32.8840976771299 -13.8014411236316))",5GRJ5VXM+CJGR
5979975,-13.80188967,32.87801453,22.9988,0.7956,"POLYGON((32.8780432293538 -13.8019042148431, 32.8780384526144 -13.8018684224241, 32.8779858337159 -13.8018751295528, 32.8779906104473 -13.8019109219726, 32.8780432293538 -13.8019042148431))",5GRJ5VXH+66RF
5980460,-13.80195406,32.87324009,118.364,0.8224,"POLYGON((32.8733137255066 -13.8019684113426, 32.8732203115049 -13.8018832661864, 32.8731664536706 -13.8019397020652, 32.8732598676749 -13.8020248472415, 32.8733137255066 -13.8019684113426))",5GRJ5VXF+679W
5982033,-13.80225952,32.88156496,42.9982,0.6617,"POLYGON((32.8815979841221 -13.8022300163225, 32.8815506220163 -13.8022181004188, 32.8815319433191 -13.8022890098145, 32.8815793054383 -13.8023009257219, 32.8815979841221 -13.8022300163225))",5GRJ5VXJ+3JWJ
5984567,-13.79735108,32.88918256,110.1437,0.8178,"POLYGON((32.8892532104363 -13.7973629912552, 32.8891648740972 -13.7972831832345, 32.8891119127276 -13.7973391749533, 32.8892002490692 -13.797418982993, 32.8892532104363 -13.7973629912552))",5GRJ6V3Q+3M3X
5986912,-13.79577401,32.88908987,57.7461,0.6511,"POLYGON((32.8890909307769 -13.7957286171487, 32.8890546112594 -13.7957589449785, 32.8890313495979 -13.7957323366549, 32.8890233490256 -13.7957390173577, 32.8890972442872 -13.7958235439245, 32.8891415643799 -13.7957865353827, 32.8890909307769 -13.7957286171487))",5GRJ6V3Q+MJW5
5987196,-13.79990009,32.87134488,12.7689,0.7114,"POLYGON((32.8713667006431 -13.799908208893, 32.8713544025772 -13.7998792582528, 32.8713230707612 -13.7998919706186, 32.8713353688234 -13.7999209212602, 32.8713667006431 -13.799908208893))",5GRJ6V2C+2GQR
5988338,-13.7950429,32.88280157,47.823,0.7702,"POLYGON((32.8828501529147 -13.7950379342213, 32.8828127879525 -13.7949959874017, 32.8827952785519 -13.7950108850376, 32.8828080127529 -13.7950251807662, 32.8827874639376 -13.7950426644443, 32.8827684008198 -13.795021263713, 32.882748769804 -13.7950379664887, 32.8827924636812 -13.795087018319, 32.8828501529147 -13.7950379342213))",5GRJ6V3M+X4M8
5991647,-13.79779423,32.88837638,150.6074,0.6563,"POLYGON((32.8884614403676 -13.7977762885904, 32.8883156809116 -13.7977332995729, 32.8882913278532 -13.7978121678735, 32.8884370873518 -13.7978551569102, 32.8884614403676 -13.7977762885904))",5GRJ6V2Q+V9J6
