...1,B2,B3,B4,row,geometry,index_right,...8,latitude,longitude,area_in_meters,confidence,full_plus_code,building
23,1213,1258,1468,24,POINT (35.310469991142774 -15.38155276539262),1510,8241152,-15.38158956,35.31047336,64.4097,0.8246,5GPQJ896+959C,1
24,1423,1582,1918,25,POINT (35.31056309902776 -15.38155179860316),1330,7251829,-15.3815785,35.31056768,50.6412,0.8375,5GPQJ896+968R,1
40,1176,1124,1230,41,POINT (35.31205282429374 -15.38153632468428),888,4899547,-15.38157312,35.31200891,218.3344,0.8562,5GPQJ896+9RC3,1
41,1208,1180,1261,42,POINT (35.31214593206699 -15.38153535723388),888,4899547,-15.38157312,35.31200891,218.3344,0.8562,5GPQJ896+9RC3,1
144,1163,1135,1320,145,POINT (35.31186760577411 -15.381628594679167),888,4899547,-15.38157312,35.31200891,218.3344,0.8562,5GPQJ896+9RC3,1
42,1085,981,1205,43,POINT (35.31223903983366 -15.381534389744596),869,4760186,-15.38156147,35.31225774,50.5784,0.7829,5GPQJ896+9WCC,1
103,1086,1016,960,104,POINT (35.317918601158084 -15.381475299378865),1454,7972103,-15.38154471,35.31791469,296.9647,0.7456,5GPQJ899+95M7,1
208,1080,967,945,209,POINT (35.31782649340387 -15.38156660406896),1454,7972103,-15.38154471,35.31791469,296.9647,0.7456,5GPQJ899+95M7,1
209,1121,1066,934,210,POINT (35.31791960080906 -15.38156563420212),1454,7972103,-15.38154471,35.31791469,296.9647,0.7456,5GPQJ899+95M7,1
408,1034,932,806,409,POINT (35.31792060046664 -15.381655969024578),1454,7972103,-15.38154471,35.31791469,296.9647,0.7456,5GPQJ899+95M7,1
122,1222,1218,1373,123,POINT (35.30981923192909 -15.381649867171838),827,4538851,-15.38166157,35.30981064,29.4842,0.7402,5GPQJ895+8WMH,1
124,1330,1303,1596,125,POINT (35.31000544786458 -15.38164793408646),1738,9426366,-15.3816536,35.31000689,20.2903,0.6253,5GPQJ896+82JR,1
126,1043,926,937,127,POINT (35.31019166377381 -15.381646000845558),446,2374282,-15.38162043,35.31022111,197.1158,0.802,5GPQJ896+9352,1
127,1047,907,975,128,POINT (35.310284771718564 -15.381645034166787),446,2374282,-15.38162043,35.31022111,197.1158,0.802,5GPQJ896+9352,1
142,1044,901,847,143,POINT (35.311681390101455 -15.381630529319724),516,2739555,-15.38161733,35.31170318,71.769,0.8331,5GPQJ896+9M48,1
146,1163,1106,1165,147,POINT (35.31205382142048 -15.381626659883096),795,4311278,-15.38165095,35.31204804,93.0239,0.7839,5GPQJ896+8RMW,1
